document_id,clean_text,sentiment
20,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
21,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
22,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
23,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
24,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
25,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
26,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
27,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
28,"Like the first two, this book is wonderfully done. I love that, in addition to the interactive inserts, each page has at least ornamental decorations, and most pages even have a painting on it. Also the pages are not stark white, but have a little bit of an aged feeling to them. I find all the books very pleasing in their presentation to the reader.",positive
29,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
30,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
31,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
32,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
33,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
34,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
35,"Like the first two, this book is wonderfully done. I love that, in addition to the interactive inserts, each page has at least ornamental decorations, and most pages even have a painting on it. Also the pages are not stark white, but have a little bit of an aged feeling to them. I find all the books very pleasing in their presentation to the reader.",positive
36,"I've been impatiently waiting for the release of this book and it's well worth the wait! Every page is so beautiful whether it's small edge details on a page, a full page illustration, or one of multiple pop-up pages. it's hard to pick a favorite part but the casting of the patronus by the lake is possibly my favorite page so far closely followed the boggart in the wardrobe.",positive
37,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
38,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
39,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
40,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
41,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
42,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
43,"Like the first two, this book is wonderfully done. I love that, in addition to the interactive inserts, each page has at least ornamental decorations, and most pages even have a painting on it. Also the pages are not stark white, but have a little bit of an aged feeling to them. I find all the books very pleasing in their presentation to the reader.",positive
44,"I�ve been impatiently waiting for the release of this book and it�s well worth the wait! Every page is so beautiful whether it�s small edge details on a page, a full-page illustration, or one of multiple pop-up pages. It�s hard to pick a favorite part, but the casting of the Patronus by the lake is possibly my favorite page so far, closely followed by the Boggart in the wardrobe.",positive
45,"As other reviews have stated, how this is shipped is an issue. The book is shrink-wrapped in plastic and then placed in a box with brown packing paper, which does not provide any protection for the corners of the book since the book is able to slide around in the box. That being said, the damage is minimal. Looks more like it�s slightly worn outside of the one crinkled corner. The inside of the book is stunningly beautiful: no complaints about it at all.",Neutral
46,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
47,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
48,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
49,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
50,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
51,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
52,"Like the first two, this book is wonderfully done. I love that, in addition to the interactive inserts, each page has at least ornamental decorations, and most pages even have a painting on it. Also the pages are not stark white, but have a little bit of an aged feeling to them. I find all the books very pleasing in their presentation to the reader.",positive
53,"I've been impatiently waiting for the release of this book and it's well worth the wait! Every page is so beautiful whether it's small edge details on a page, a full page illustration, or one of multiple pop-up pages. it's hard to pick a favorite part but the casting of the patronus by the lake is possibly my favorite page so far closely followed the boggart in the wardrobe.",positive
54,"As other reviews have stated, how this is shipped is an issue. The book is shrink wrapped in plastic and then placed in a box with brown packing paper, which does not provide any protection for the corners of the book since the book is able to slide around in the box. That being said, the damage is minimal. Looks more like it's slightly worn outside of the one crinkled corner. The inside of the book is stunningly beautiful: no complaints about it at all.",Neutral
55,"This is the 3rd one I've bought in the series and they do not disappoint.  The illustrations and pop ups are so adorable, it's making reading them for the 2nd time even more exciting….if you are on the fence about getting these books, you WILL LOVE THEM!",positive
56,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
57,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
58,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
59,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
60,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
61,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
62,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
63,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
64,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
65,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
66,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
67,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
68,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
69,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
70,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
71,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
72,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
73,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
74,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
75,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
76,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
77,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
78,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
79,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
80,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
81,"The Mina Lima designs are absolutely stunning! This book is by far my absolute favorite! The artwork and the attention to detail, and all of the graphic design throughout this book is amazing! From the exterior cover to all of the small little details inside this is definitely want to have your collection",positive
82,"Gorgeous book with high quality, vibrantly printed pages and fun pop-out elements for an immersive experience. I've been waiting almost a year for this to come out and it did not disappoint!! I collect Harry Potter books, and I’m proud to add this to my library ❤️",positive
83,"Like the first two, this book is wonderfully done. I love that, in addition to the interactive inserts, each page has at least ornamental decorations, and most pages even have a painting on it. Also the pages are not stark white, but have a little bit of an aged feeling to them. I find all the books very pleasing in their presentation to the reader.",positive
84,"Minalima's interactive papercraft is always beautiful, but the Grim being uncovered in the teacup and the moving footsteps on the Marauder's map were absolutely brilliant creative details.  My photo is of the ""Monster's Book of Monsters"" but my favorite details were actually the seasonal detailed edges for Halloween and Christmas.  I already have the original HP books in hardcover, kindle, audible, and the first five art books done by Jim Kay and I still HAVE to buy these MinaLima versions because they are magical.  They remind me of the original images at the start of each chapter and encapsulate the way I imagined the Wizarding World to be before the movies and the other art that came out later.  Absolutely stunning addition to my shelf and I am already looking forward to the next one.  This will be used primarily by an adult but I have let children (9-13) read and use my MinaLima versions and have never had an issue.  They are careful children though, who take care of things.",positive
85,I'm a happy camper such beautiful well thought out and pull outs and photos lots of work and thought went into these books! I bought all three for my granddaughter and I'm struggling to not give them to her before Christmas! She's thirty five and will buy for geat grandchildren also! I wouldn't want to give under twelve  even though pages are studry! To easy to tear and bend! Love love love!,positive
86,Another wonderfully illustrated pop-up book by MinaLima.  I was so happy with the first two books and got this 3rd one on my birthday.  What a grand treat.  Hats off to them for their beautiful and creativity imaginative illustrations.Book arrived shrink wrapped and in excellent condition.  Definitely a must have for Harry Potter fans and book collectors.,positive
87,I always look forward to these books coming out and was so happy to get mine right on time with my pre-order. The illustrations and features throughout the book are so amazing! I buy these books for myself because I love HP - but these versions definitely take your reading experience to a new level and I am excited to read these with my kids so they can enjoy all the fun illustrations and pop ups while we read.,positive
